Country,UN Region,GDP,YEAR,World Bank[13],YEAR,United Nations[14],YEAR
 United States,Americas,"2,50,35,164",2022,"2,29,96,100",2021,"2,08,93,746",2020
 China,Asia,"1,83,21,197",2022,"1,77,34,063",[n 3]2021,"1,47,22,801",[n 3]2020
 Japan,Asia,"43,00,621",2022,"49,37,422",2021,"50,57,759",2020
 Germany,Europe,"40,31,149",2022,"42,23,116",2021,"38,46,414",2020
 India,Asia,"34,68,566",2022,"31,73,398",2021,"26,64,749",2020
 United Kingdom,Europe,"31,98,470",2022,"31,86,860",2021,"27,64,198",2020
 France,Europe,"27,78,090",2022,"29,37,473",2021,"26,30,318",2020
 Canada,Americas,"22,00,352",2022,"19,90,762",2021,"16,44,037",2020
 Russia,Europe,"21,33,092",2022,"17,75,800",2021,"14,83,498",2020
 Italy,Europe,"19,96,934",2022,"20,99,880",2021,"18,88,709",2020
 Iran,Asia,"19,73,738",2022,"2,31,548",2020,"9,39,316",2020
 Brazil,Americas,"18,94,708",2022,"16,08,981",2021,"14,44,733",2020
 South Korea,Asia,"17,34,207",2022,"17,98,534",2021,"16,37,896",2020
 Australia,Oceania,"17,24,787",2022,"15,42,660",2021,"14,23,473",2020
 Mexico,Americas,"14,24,533",2022,"12,93,038",2021,"10,73,439",2020
 Spain,Europe,"13,89,927",2022,"14,25,277",2021,"12,81,485",2020
 Indonesia,Asia,"12,89,429",2022,"11,86,093",2021,"10,58,424",2020
 Saudi Arabia,Asia,"10,10,588",2022,"8,33,541",2021,"7,00,118",2020
 Netherlands,Europe,"9,90,583",2022,"10,18,007",2021,"9,13,865",2020
 Turkey,Asia,"8,53,487",2022,"8,15,272",2021,"7,20,098",2020
 Taiwan,Asia,"8,28,659",[n 5]2022,—,,"6,69,324",[15]2020
 Switzerland,Europe,"8,07,418",2022,"8,12,867",2021,"7,52,248",2020
 Poland,Europe,"7,16,305",2022,"6,74,048",2021,"5,96,618",2020
 Argentina,Americas,"6,30,698",2022,"4,91,493",2021,"3,83,067",2020
 Sweden,Europe,"6,03,922",2022,"6,27,438",2021,"5,41,064",2020
 Belgium,Europe,"5,89,491",2022,"5,99,879",2021,"5,21,861",2020
 Thailand,Asia,"5,34,758",2022,"5,05,982",2021,"5,01,795",2020
 Israel,Asia,"5,27,179",2022,"4,81,591",2021,"4,07,101",2020
 Ireland,Europe,"5,19,776",2022,"4,98,560",2021,"4,25,889",2020
 Norway,Europe,"5,04,703",2022,"4,82,437",2021,"3,62,522",2020
 Nigeria,Africa,"5,04,203",2022,"4,40,777",2021,"4,29,899",2020
 United Arab Emirates,Asia,"5,03,913",2022,"3,58,869",2021,"3,58,869",2020
 Egypt,Africa,"4,69,094",2022,"4,04,143",2021,"3,69,309",2020
 Austria,Europe,"4,68,046",2022,"4,77,083",2021,"4,33,258",2020
 Bangladesh,Asia,"4,60,751",2022,"4,16,265",2021,"3,29,484",2020
 Malaysia,Asia,"4,34,059",2022,"3,72,701",2021,"3,36,664",2020
 Singapore,Asia,"4,23,632",2022,"3,96,987",2021,"3,39,988",2020
 Vietnam,Asia,"4,13,808",2022,"3,62,638",2021,"2,71,158",2020
 South Africa,Africa,"4,11,480",2022,"4,19,946",2021,"3,02,141",2020
 Philippines,Asia,"4,01,662",2022,"3,94,086",2021,"3,61,489",2020
 Denmark,Europe,"3,86,724",2022,"3,97,104",2021,"3,56,085",2020
 Pakistan,Asia,"3,76,493",2021,"3,46,343",2021,"2,57,829",2020
 Hong Kong,Asia,"3,68,373",[n 6]2022,"3,68,139",2021,"3,49,445",2020
 Colombia,Americas,"3,42,919",2022,"3,14,323",2021,"2,71,347",2020
 Chile,Americas,"3,10,866",2022,"3,17,059",2021,"2,52,940",2020
 Romania,Europe,"2,99,885",2022,"2,84,088",2021,"2,48,716",2020
 Czech Republic,Europe,"2,95,618",2022,"2,82,341",2021,"2,45,349",2020
 Iraq,Asia,"2,82,876",2022,"2,07,889",2021,"1,66,757",2020
 Finland,Europe,"2,81,411",2022,"2,99,155",2021,"2,69,751",2020
 Portugal,Europe,"2,55,854",2022,"2,49,887",2021,"2,28,539",2020
 New Zealand,Oceania,"2,42,700",2022,"2,49,992",2021,"2,12,044",2020
 Peru,Americas,"2,39,333",2022,"2,23,250",2021,"2,03,196",2020
 Kazakhstan,Asia,"2,24,338",2022,"1,90,814",2021,"1,71,082",2020
 Greece,Europe,"2,22,008",2022,"2,16,241",2021,"1,88,835",2020
 Qatar,Asia,"2,21,369",2022,"1,79,571",2021,"1,46,401",2020
 Ukraine,Europe,"1,99,719",[n 7]2021,"2,00,086",[n 7]2021,"1,55,582",[n 7]2020
 Algeria,Africa,"1,87,155",2022,"1,67,983",2021,"1,47,689",2020
 Hungary,Europe,"1,84,651",2022,"1,82,281",2021,"1,55,808",2020
 Kuwait,Asia,"1,83,568",2022,"1,05,960",2020,"1,05,949",2020
 Morocco,Africa,"1,42,874",2022,"1,32,725",2021,"1,14,724",[n 8]2020
