Rank,Country ,Population
1, China,"1,41,26,00,000"
2, India,"1,37,55,86,000"
3, United States,"33,18,93,745"
4, Indonesia,"27,57,73,800"
5, Pakistan,"22,94,89,000"
6, Nigeria,"21,67,47,000"
7, Brazil,"21,53,45,749"
8, Bangladesh,"16,51,58,616"
9, Russia,"14,51,00,000"
10, Mexico,"12,85,33,664"
11, Japan,"12,59,27,902"
12, Philippines,"11,26,38,019"
13, Ethiopia,"10,51,63,988"
14, Egypt,"10,40,29,179"
15, Vietnam,"9,85,06,193"
16, DR Congo,"9,52,41,000"
17, Iran,"8,59,09,213"
18, Turkey,"8,46,80,273"
19, Germany,"8,40,79,811"
20, France,"6,79,60,000"
21, United Kingdom,"6,70,81,234"
22, Thailand,"6,68,54,792"
23, Tanzania,"6,12,80,743"
24, South Africa,"6,06,04,992"
25, Italy,"5,88,53,482"
26, Myanmar,"5,52,94,979"
27, South Korea,"5,16,38,809"
28, Colombia,"5,10,49,498"
29, Kenya,"4,75,64,296"
30, Spain,"4,74,32,805"
31, Argentina,"4,73,27,407"
32, Algeria,"4,54,00,000"
33, Sudan,"4,48,83,215"
34, Uganda,"4,28,85,900"
35, Iraq,"4,11,90,700"
36, Ukraine,"4,11,30,432"
37, Canada,"3,89,95,828"
38, Poland,"3,79,87,000"
39, Morocco,"3,67,67,966"
40, Uzbekistan,"3,58,60,588"
41, Saudi Arabia,"3,50,13,414"
42, Peru,"3,33,96,698"
43, Angola,"3,30,86,278"
44, Afghanistan,"3,28,90,171"
45, Malaysia,"3,27,49,800"
46, Mozambique,"3,16,16,078"
47, Yemen,"3,11,55,000"
48, Ghana,"3,08,32,019"
49, Ivory Coast,"2,93,89,150"
50, Venezuela,"2,92,67,000"
51, Nepal,"2,91,92,480"
52, Madagascar,"2,69,23,353"
53, Australia,"2,59,92,769"
54, North Korea,"2,56,60,000"
55, Cameroon,"2,43,48,251"
56, Niger,"2,41,12,753"
–, Taiwan,"2,33,75,314"
57, Sri Lanka,"2,21,56,000"
58, Burkina Faso,"2,15,10,181"
59, Malawi,"2,15,07,723"
60, Mali,"2,14,74,000"
61, Chile,"1,98,28,563"
62, Kazakhstan,"1,93,41,200"
63, Romania,"1,90,38,098"
64, Zambia,"1,84,00,556"
65, Syria,"1,82,76,000"
66, Ecuador,"1,80,95,544"
67, Netherlands,"1,77,59,960"
68, Senegal,"1,72,23,497"
69, Guatemala,"1,71,09,746"
70, Chad,"1,68,18,391"
71, Somalia,"1,63,60,000"
72, Cambodia,"1,55,52,211"
73, Zimbabwe,"1,51,78,979"
74, South Sudan,"1,32,49,924"
75, Rwanda,"1,29,55,768"
76, Guinea,"1,29,07,395"
77, Burundi,"1,25,74,571"
78, Benin,"1,25,06,347"
79, Tunisia,"1,18,03,588"
80, Bolivia,"1,17,97,257"
81, Haiti,"1,17,43,017"
82, Belgium,"1,16,71,737"
83, Jordan,"1,13,33,576"
84, Cuba,"1,11,13,215"
85, Dominican Republic,"1,05,35,535"
86, Czech Republic,"1,05,25,739"
87, Sweden,"1,05,02,959"
88, Greece,"1,04,32,481"
